Date,Open,High,Low,Close,Adj Close,Volume
2001-09-01,16.675194,16.970778,15.833076,29.260000,16.318275,2107300
2001-10-01,16.415916,17.034107,15.511099,27.719999,15.578531,1904600
2001-11-01,15.735893,16.185495,15.320013,27.370001,15.381842,3354600
2001-12-01,15.303161,15.904499,14.971584,28.030001,15.752757,1328400
2002-01-01,15.801159,16.254242,14.883671,27.020000,15.302765,1830500
2002-02-01,15.433037,15.484001,14.600499,26.969999,15.274452,1410300
2002-03-01,15.433037,16.163626,15.404716,28.180000,15.959734,1691100
2002-04-01,15.929048,16.128878,14.501715,26.469999,15.112614,1727800
2002-05-01,15.021265,15.557942,14.473166,26.250000,14.987009,2050500
2002-06-01,14.952750,15.021265,13.319880,24.250000,13.845140,1671500
2002-07-01,14.048175,14.048175,9.453836,20.680000,11.921059,2803000
2002-08-01,11.990233,13.108555,11.315784,21.500000,12.393750,2544500
2002-09-01,12.422580,12.422580,10.053351,18.670000,10.762387,5099300
2002-10-01,11.021905,11.150270,8.693826,18.240000,10.642645,20008700
2002-11-01,10.584297,11.313644,10.094176,18.770000,10.951888,10791900
2002-12-01,10.998567,11.371994,10.455935,19.150000,11.173613,11815800
2003-01-01,11.442534,12.221902,10.757632,18.700001,11.041041,15442800
2003-02-01,11.100082,11.123705,9.866083,17.700001,10.450612,10068700
2003-03-01,10.568697,11.064655,10.267575,18.400000,10.863913,9243800
2003-04-01,11.045658,12.078022,10.926313,19.990000,11.928838,8530100
2003-05-01,11.934804,13.378916,11.702072,22.010000,13.134246,19859900
2003-06-01,13.307300,13.695185,13.104414,22.120001,13.199899,13760400
2003-07-01,13.234246,13.390718,12.337515,20.639999,12.421774,10354300
2003-08-01,12.493993,12.698615,12.108824,21.049999,12.668524,9023800
2003-09-01,12.620376,13.222211,12.620376,21.900000,13.180079,12850500
2003-10-01,13.340940,13.565619,13.122338,22.049999,13.389523,9327700
2003-11-01,13.462392,13.602050,12.903731,22.100000,13.419883,10579400
2003-12-01,13.474533,14.257865,13.359160,23.330000,14.166778,13439700
2004-01-01,14.342060,14.783356,14.158187,23.809999,14.593356,9584200
2004-02-01,14.703676,14.881423,14.286896,24.260000,14.869161,8427200
2004-03-01,14.991744,15.169486,14.538187,24.320000,14.905942,19450700
2004-04-01,15.058577,15.114191,14.039019,23.280001,14.385054,18940200
2004-05-01,14.514812,14.607501,13.637371,23.559999,14.558073,21483400
2004-06-01,14.576607,14.860847,14.323257,23.760000,14.681651,15285200
2004-07-01,14.878760,15.146784,14.529696,24.120001,15.034585,12470200
2004-08-01,15.090688,15.645444,14.934855,25.100000,15.645444,16854200
2004-09-01,15.664138,15.888538,15.439750,25.049999,15.614281,15324700
2004-10-01,15.751040,16.687553,15.744753,26.270000,16.511572,16129700
2004-11-01,16.605846,17.756065,16.310438,27.440001,17.246950,31083100
2004-12-01,17.158953,17.724642,16.813259,27.850000,17.504656,25639200
2005-01-01,17.640007,18.046110,17.068930,28.440001,18.046110,21880000
2005-02-01,18.084181,18.769478,17.925547,29.049999,18.433176,35083100
2005-03-01,18.464905,19.023293,17.849409,29.150000,18.496630,45779100
2005-04-01,18.796860,19.244408,18.413252,30.049999,19.212435,26177000
2005-05-01,19.321125,19.372271,18.349314,30.030001,19.199644,26645800
2005-06-01,19.269974,20.408016,19.212435,31.559999,20.177856,29180800
2005-07-01,20.439375,21.013037,19.981724,32.270000,20.800331,36751400
2005-08-01,20.916353,21.270868,20.007509,32.480000,20.935690,50543700
2005-09-01,20.884129,21.773638,20.871239,33.599998,21.657614,36174000
2005-10-01,21.950792,22.113152,18.840025,31.450001,20.424633,78611500
2005-11-01,20.489573,20.762342,19.677784,31.400000,20.392159,57613600
2005-12-01,20.431126,21.268898,19.781696,31.389999,20.385668,42773900
2006-01-01,20.698418,22.048172,20.311831,32.150002,21.065336,71339100
2006-02-01,21.157072,21.871258,20.508396,32.570000,21.340525,51941800
2006-03-01,21.150517,21.419157,20.167683,30.830000,20.200447,62278800
2006-04-01,20.451159,20.873644,19.870224,31.320000,20.675594,54974100
2006-05-01,20.688795,21.249920,20.167294,31.830000,21.012274,67062300
2006-06-01,20.933052,21.632805,20.682199,32.290001,21.315939,84220700
2006-07-01,21.567616,22.819067,21.401194,33.840000,22.526173,68764700
2006-08-01,22.526173,23.211813,22.406357,34.770000,23.145243,75113600
2006-09-01,23.245098,23.245098,21.540989,33.990002,22.626020,96364200
2006-10-01,22.942806,24.264753,22.768341,35.790001,24.016476,85835400
2006-11-01,24.117123,24.653963,23.627264,36.740002,24.653963,71506000
2006-12-01,24.653963,25.123684,24.479486,36.720001,24.640543,45429400
2007-01-01,24.654543,25.121761,24.173775,36.590000,24.776426,68534900
2007-02-01,24.817060,27.288603,24.783195,38.529999,26.090075,66552900
2007-03-01,25.880157,27.281836,25.372311,39.700001,26.882322,97856100
2007-04-01,27.102333,28.960886,27.095526,41.650002,28.354982,64570500
2007-05-01,28.348171,29.342133,27.633331,41.840000,28.484331,108314200
2007-06-01,28.525175,28.600071,26.142408,39.580002,26.945744,248257200
2007-07-01,27.337769,29.579351,25.617153,38.000000,26.049021,184488500
2007-08-01,25.973619,27.940998,25.151018,38.599998,26.460329,249329800
2007-09-01,26.576849,28.208353,26.528879,39.799999,27.282925,87991200
2007-10-01,27.675604,29.449770,27.150949,42.450001,29.304802,101312500
2007-11-01,28.932016,29.615448,28.214060,42.730000,29.498091,127555500
2007-12-01,29.988228,30.830435,29.208151,42.330002,29.221949,86630400
2008-01-01,29.319412,30.682791,25.076281,39.220001,27.281332,184879000
2008-02-01,27.469131,28.665556,26.084894,37.610001,26.161409,107419000
2008-03-01,26.154451,27.469131,25.111063,37.939999,26.390953,130558400
2008-04-01,26.798563,28.725260,26.763536,39.880001,27.940580,100377800
2008-05-01,28.094709,29.411873,27.716377,41.310001,28.942455,73131500
2008-06-01,28.970465,29.271751,27.821470,40.700001,28.515078,103942300
2008-07-01,28.451193,29.248749,26.460798,38.080002,26.877232,152909100
2008-08-01,27.060740,27.103088,25.578550,37.660000,26.580795,91668700
2008-09-01,27.230143,27.230143,22.945871,33.230000,23.454054,155227600
2008-10-01,23.732763,23.789726,16.576614,28.910000,20.585480,224908800
2008-11-01,20.977110,21.582357,18.499161,30.120001,21.447063,194890900
2008-12-01,21.190723,21.326017,19.218334,29.030001,20.670923,152742700
2009-01-01,21.155649,21.970434,19.864965,28.980000,20.896069,133497000
2009-02-01,20.658123,21.790176,17.968599,25.350000,18.278656,155751900
2009-03-01,18.047920,19.028551,16.209234,25.549999,18.422863,178996600
2009-04-01,18.385799,19.646999,18.203548,25.850000,18.845083,133886300
2009-05-01,19.063786,20.281242,18.604502,26.770000,19.515779,120247900
2009-06-01,19.661581,20.682205,19.377264,27.889999,20.332275,173426600
2009-07-01,20.571474,21.795433,19.686678,28.940001,21.338287,137191700
2009-08-01,21.434139,22.031378,20.947510,29.230000,21.552116,98501700
2009-09-01,21.471012,22.200962,21.102348,29.330000,21.625847,112356100
2009-10-01,21.871449,22.519541,21.119059,28.389999,21.148849,168239000
2009-11-01,21.238247,22.415255,20.932821,29.760000,22.169422,132790200
2009-12-01,22.333311,23.897682,22.281164,31.020000,23.108049,213217500
2010-01-01,23.578373,23.638676,22.221561,29.530001,22.259253,188381200
2010-02-01,22.281866,22.658758,21.445166,29.139999,21.965275,128506700
2010-03-01,22.040657,22.990423,22.033113,29.660000,22.357241,126330100
2010-04-01,22.662735,23.377602,22.571484,30.440001,23.149454,104878200
2010-05-01,23.240719,23.506886,19.590338,28.760000,21.871824,183153800
2010-06-01,21.750143,23.111427,21.316668,28.260000,21.491571,160807800
2010-07-01,21.679846,23.977713,21.456976,30.370001,23.339844,166375600
2010-08-01,23.654934,24.169838,23.170763,30.809999,23.677984,180958200
2010-09-01,23.862431,24.392704,23.639561,31.379999,24.116041,135775600
2010-10-01,24.386715,25.155346,24.262493,31.719999,24.627401,101256900
2010-11-01,24.720564,24.930193,23.687958,30.760000,23.882055,122128800
2010-12-01,24.146029,24.487644,23.913107,31.340000,24.332367,112796800
2011-01-01,24.725809,25.307224,24.537247,31.719999,24.922234,105488500
2011-02-01,25.055807,25.322941,24.741524,32.110001,25.228657,104721300
2011-03-01,25.142229,25.841497,24.152256,31.870001,25.040092,195778700
2011-04-01,25.461567,26.326422,24.874424,33.160000,26.310551,117423600
2011-05-01,26.358160,27.215082,26.151863,33.869999,26.873896,132563600
2011-06-01,26.850092,26.865961,25.731339,33.480000,26.564453,141723400
2011-07-01,26.835236,27.340208,26.362337,33.169998,26.586765,133820400
2011-08-01,26.835236,27.244017,23.605070,33.889999,27.163872,355178900
2011-09-01,27.203936,27.829140,25.969589,33.619999,26.947456,229742200
2011-10-01,27.206367,28.720537,25.862251,34.849998,28.218513,211292600
2011-11-01,27.813654,28.663853,26.866293,35.209999,28.510014,145805200
